 Name,Accuracy
 0,89.68
 1,88.75999999999999
 2,85.25
 3,79.79
 4,73.21
 5,65.11
 6,56.34
 7,48.03
 8,40.089999999999996
 9,33.7
 10,28.26
 11,23.68
 12,19.82
 13,16.869999999999997
 14,14.52
 15,12.65
 16,11.14
 17,10.03
 18,9.049999999999999
 19,8.49
 20,8.08
 21,7.64
 22,7.24
 23,7.000000000000001
 24,6.76
 25,6.61
 26,6.550000000000001
 27,6.370000000000001
 28,6.329999999999999
 29,6.3
 30,6.23
 31,6.2
 32,6.18
 33,6.17
 34,6.17
 35,6.140000000000001
 36,6.17
 37,6.13
 38,6.140000000000001
 39,6.12
