 Name,Accuracy
 0,87.22
 1,87.32
 2,87.06
 3,86.92
 4,86.82
 5,86.49
 6,85.9
 7,85.36
 8,84.73
 9,83.8
 10,83.02000000000001
 11,81.99
 12,80.86
 13,79.52
 14,77.86
 15,75.8
 16,73.24000000000001
 17,70.37
 18,67.07
 19,64.01
 20,59.47
 21,55.010000000000005
 22,50.580000000000005
 23,46.129999999999995
 24,41.94
 25,38.49
 26,35.61
 27,32.769999999999996
 28,30.34
 29,28.12
 30,25.86
 31,23.77
 32,21.51
 33,19.939999999999998
 34,18.25
 35,16.520000000000003
 36,15.110000000000001
 37,13.86
 38,12.7
 39,11.68
