 Name,Accuracy
 0,88.8
 1,88.74
 2,88.63
 3,88.42
 4,87.92999999999999
 5,87.78
 6,87.57000000000001
 7,87.11
 8,86.8
 9,86.22
 10,85.39999999999999
 11,84.53
 12,83.52000000000001
 13,82.03
 14,80.51
 15,78.64
 16,76.33
 17,74.31
 18,71.8
 19,69.28999999999999
 20,66.73
 21,63.83
 22,60.650000000000006
 23,57.66
 24,54.54
 25,51.25999999999999
 26,48.18
 27,45.33
 28,42.58
 29,39.739999999999995
 30,37.0
 31,34.44
 32,31.95
 33,29.99
 34,27.779999999999998
 35,25.919999999999998
 36,24.14
 37,22.38
 38,20.549999999999997
 39,18.91
