 Name,Accuracy
 0,91.53
 1,90.16999999999999
 2,85.96000000000001
 3,79.3
 4,71.71
 5,63.41
 6,55.53
 7,48.230000000000004
 8,42.26
 9,36.13
 10,31.269999999999996
 11,26.86
 12,23.0
 13,19.939999999999998
 14,16.869999999999997
 15,14.540000000000001
 16,12.540000000000001
 17,10.83
 18,9.6
 19,8.6
 20,7.739999999999999
 21,7.109999999999999
 22,6.79
 23,6.49
 24,6.260000000000001
 25,6.1899999999999995
 26,6.069999999999999
 27,6.04
 28,5.9799999999999995
 29,5.970000000000001
 30,5.949999999999999
 31,5.96
 32,5.94
 33,5.91
 34,5.91
 35,5.89
 36,5.88
 37,5.87
 38,5.87
 39,5.88
