 Name,Accuracy
 0,88.79
 1,88.67
 2,88.32
 3,87.98
 4,87.88
 5,87.72
 6,87.45
 7,87.03
 8,86.58
 9,86.09
 10,85.47
 11,84.94
 12,84.14
 13,83.13000000000001
 14,81.67999999999999
 15,80.04
 16,78.43
 17,76.32
 18,74.00999999999999
 19,71.53
 20,69.02000000000001
 21,66.55
 22,63.56
 23,60.84
 24,57.91
 25,54.690000000000005
 26,51.370000000000005
 27,48.26
 28,45.410000000000004
 29,42.59
 30,39.87
 31,37.269999999999996
 32,34.96
 33,32.47
 34,30.29
 35,28.1
 36,26.27
 37,24.29
 38,22.62
 39,20.77
