 # model:cnn_small save: cnn_fashion dataset:CIFAR10 epoch:40 attack:fgsm eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,199.1977,23.9380,9.74,9.74
 2,180.3412,29.4820,6.25,15.99
 3,172.2911,31.4620,7.80,23.79
 4,166.8550,33.0180,10.03,33.82
 5,162.9965,34.4640,6.65,40.47
 6,160.8343,34.7520,7.59,48.06
 7,158.9685,35.5100,9.92,57.98
 8,157.6021,35.8880,6.66,64.64
 9,155.8912,36.5620,7.61,72.25
 10,154.9362,36.8460,9.95,82.20
 11,153.3574,37.4580,6.62,88.82
 12,152.3011,37.6400,7.28,96.09
 13,151.4282,38.1200,9.73,105.83
 14,150.8321,37.8740,6.80,112.63
 15,150.5733,38.1140,7.12,119.75
 16,149.5554,38.4620,9.78,129.53
 17,148.6817,38.5600,6.83,136.36
 18,148.1869,39.0640,7.09,143.45
 19,147.5107,39.2040,9.71,153.16
 20,147.1184,39.3400,6.98,160.15
 21,146.8277,39.7220,7.06,167.21
 22,146.3396,39.7060,9.52,176.73
 23,145.9645,39.5520,7.14,183.87
 24,145.2993,40.1180,6.85,190.72
 25,144.6912,40.2920,9.86,200.59
 26,144.5459,40.4180,7.08,207.66
 27,144.1526,40.5960,6.85,214.51
 28,143.5025,40.4860,9.78,224.29
 29,143.4374,40.4200,7.11,231.40
 30,143.0428,40.5940,6.88,238.28
 31,142.3807,41.0600,9.85,248.14
 32,142.8004,40.8120,7.16,255.29
 33,142.5380,40.9240,6.81,262.11
 34,142.4400,40.9160,9.84,271.94
 35,141.6586,41.3380,7.10,279.04
 36,141.3450,41.5480,6.98,286.02
 37,141.1912,41.2960,9.70,295.72
 38,141.2165,41.4400,7.22,302.94
 39,141.0347,41.2620,7.00,309.94
 40,140.3194,41.7300,9.92,319.86
