 # model:cnn_small save: cnn_fashion dataset:CIFAR10 epoch:40 attack:none eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,187.7110,31.0160,9.42,9.42
 2,156.9177,42.9660,6.92,16.34
 3,144.8633,47.2020,5.97,22.31
 4,136.4379,50.3800,9.25,31.56
 5,130.4558,52.7660,7.81,39.37
 6,124.9714,54.7680,5.97,45.34
 7,120.9523,56.4220,8.72,54.06
 8,117.7634,57.4300,8.67,62.73
 9,114.6266,58.7400,5.95,68.68
 10,111.4830,59.7700,7.74,76.42
 11,108.2901,61.2140,9.13,85.55
 12,105.3916,62.0560,6.13,91.68
 13,104.1597,62.6420,6.80,98.48
 14,100.9672,63.7100,9.11,107.59
 15,98.8118,64.5980,6.88,114.48
 16,96.8637,65.3540,6.09,120.57
 17,94.5740,66.2220,9.34,129.91
 18,92.4557,66.8920,7.39,137.30
 19,90.3649,67.7940,6.01,143.31
 20,88.7010,68.5480,9.01,152.32
 21,86.6476,69.1700,8.33,160.65
 22,85.5754,69.5740,5.92,166.57
 23,83.8876,69.9160,8.11,174.68
 24,81.4423,71.0440,9.28,183.97
 25,79.5283,71.6680,5.90,189.87
 26,78.0196,72.3660,7.12,196.99
 27,76.9687,72.6800,9.52,206.51
 28,75.4748,73.0520,6.65,213.16
 29,73.1482,74.1420,6.62,219.78
 30,72.0875,74.4200,9.49,229.27
 31,69.7800,75.2220,9.42,238.69
 32,69.4944,75.1900,8.80,247.50
 33,67.6731,76.0280,9.59,257.09
 34,66.0769,76.4160,6.01,263.11
 35,65.3284,76.8500,6.86,269.97
 36,63.3987,77.5180,9.44,279.41
 37,62.7554,77.8000,6.70,286.11
 38,60.5622,78.6860,6.34,292.46
 39,59.1272,78.9540,9.10,301.56
 40,58.0690,79.5780,7.68,309.24
