 # model:cnn_small save: cnn_fashion dataset:CIFAR10 epoch:40 attack:pgd eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,200.8308,23.4220,17.56,17.56
 2,182.3730,28.5440,17.27,34.83
 3,174.6536,30.3320,19.97,54.80
 4,169.7829,31.6960,20.34,75.13
 5,166.7719,32.9460,18.93,94.06
 6,165.1886,33.0800,17.31,111.38
 7,163.5125,33.1880,18.86,130.23
 8,162.3072,33.9840,20.43,150.67
 9,161.0885,34.3540,19.47,170.14
 10,160.4062,34.3680,17.35,187.48
 11,159.3460,34.9140,17.93,205.42
 12,158.3355,35.1460,20.50,225.91
 13,157.7806,35.4920,19.81,245.72
 14,157.3343,35.4760,17.29,263.01
 15,156.9070,35.8000,18.36,281.37
 16,156.1666,35.8380,20.33,301.71
 17,155.7464,36.0740,20.44,322.14
 18,155.3016,36.0200,18.11,340.26
 19,154.5706,36.4880,17.65,357.91
 20,153.9930,36.6420,19.46,377.36
 21,154.4371,36.3600,20.73,398.10
 22,153.5905,36.7080,18.84,416.93
 23,153.4451,36.7840,17.33,434.26
 24,153.0650,37.1220,19.39,453.65
 25,152.5674,37.0660,20.72,474.37
 26,152.4892,37.0880,19.47,493.84
 27,152.0404,37.3620,17.34,511.18
 28,151.6153,37.2920,18.80,529.99
 29,151.5592,37.3040,20.56,550.55
 30,151.3821,37.6460,19.22,569.77
 31,150.9213,37.8100,17.62,587.39
 32,151.0085,37.5720,18.88,606.28
 33,150.5969,37.8220,20.37,626.64
 34,150.5405,37.7000,19.62,646.26
 35,149.8662,38.0800,17.65,663.91
 36,149.8289,38.1360,18.47,682.38
 37,149.3761,38.2060,20.69,703.06
 38,149.8244,37.8500,20.05,723.11
 39,149.1463,38.3440,17.48,740.59
 40,148.9689,38.2800,18.27,758.86
