 # model:cnn save: cnn_fashion dataset:FashionMNIST epoch:20 attack:fgsm eps:0.05
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,98.0865,69.9767,11.95,11.95
 2,64.2014,79.9867,12.25,24.20
 3,56.4518,82.5500,11.99,36.19
 4,51.9865,83.9850,11.83,48.02
 5,47.9939,85.3167,11.91,59.93
 6,45.2304,86.1333,11.87,71.80
 7,42.8335,86.7683,11.82,83.62
 8,41.0754,87.3983,11.83,95.45
 9,39.5209,87.8450,11.93,107.38
 10,37.8460,88.3550,11.97,119.35
 11,36.6311,88.7517,11.89,131.25
 12,35.8177,89.0250,11.83,143.08
 13,34.5730,89.3300,11.92,155.00
 14,33.5023,89.8267,11.90,166.90
 15,32.8710,89.9433,12.09,178.99
 16,31.7076,90.2350,11.99,190.98
 17,30.7332,90.5433,11.86,202.84
 18,29.9686,90.9250,11.89,214.73
 19,28.9385,91.0417,11.88,226.62
 20,28.5186,91.1650,11.94,238.55
