 # model:cnn_small save: cnn_fashion dataset:FashionMNIST epoch:20 attack:fgsm eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,114.0612,64.5517,5.85,5.85
 2,72.2431,74.8000,9.06,14.91
 3,65.5402,76.9883,8.21,23.12
 4,61.4995,78.4900,5.78,28.91
 5,59.4481,78.9917,7.98,36.88
 6,56.8642,79.8883,11.80,48.68
 7,55.0682,80.4300,6.61,55.29
 8,53.6002,80.7800,7.42,62.71
 9,52.2591,81.1483,9.37,72.08
 10,51.4727,81.4883,6.49,78.57
 11,50.0874,81.9067,6.65,85.22
 12,49.2577,82.2583,9.54,94.76
 13,48.2600,82.4900,6.85,101.61
 14,47.6310,82.7383,6.08,107.69
 15,46.7023,83.0317,9.43,117.12
 16,45.9227,83.4367,7.58,124.70
 17,45.5263,83.2933,6.06,130.76
 18,45.0218,83.6883,9.23,139.99
 19,44.3095,83.9783,8.18,148.17
 20,44.2971,83.7733,6.00,154.18
