 # model:cnn_small save: cnn_fashion dataset:FashionMNIST epoch:20 attack:none eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,104.7111,69.6683,8.71,8.71
 2,59.9322,81.8933,7.87,16.58
 3,51.9950,84.3950,5.62,22.20
 4,47.0664,85.9100,7.08,29.28
 5,44.6743,86.4483,9.10,38.37
 6,42.3418,87.1817,6.05,44.43
 7,40.0980,87.8300,5.88,50.31
 8,38.4470,88.3050,8.70,59.01
 9,36.7632,88.7533,7.24,66.25
 10,35.5452,89.1417,5.65,71.89
 11,34.1609,89.4633,7.70,79.59
 12,33.0528,89.7767,8.95,88.54
 13,31.5339,90.1967,5.61,94.15
 14,31.0800,90.4317,6.20,100.34
 15,29.7296,90.8317,8.78,109.12
 16,29.2756,90.9800,6.83,115.96
 17,28.4981,91.1717,5.53,121.49
 18,27.6629,91.4933,8.19,129.68
 19,26.8686,91.6500,8.42,138.10
 20,26.2680,91.8667,5.56,143.67
