 # model:cnn_small save: cnn_fashion dataset:FashionMNIST epoch:20 attack:pgd eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,115.1804,64.1883,18.97,18.97
 2,73.2072,74.4017,16.06,35.03
 3,66.7312,76.5883,18.05,53.08
 4,63.0024,77.9317,19.73,72.81
 5,60.6384,78.6933,17.61,90.42
 6,58.5042,79.2717,16.59,107.01
 7,56.5523,79.8467,18.78,125.80
 8,55.3063,80.1967,22.58,148.38
 9,54.2322,80.5683,16.43,164.81
 10,53.2890,80.7900,17.88,182.69
 11,52.0259,81.2150,19.81,202.50
 12,51.2229,81.4233,18.35,220.85
 13,50.1154,81.7150,16.79,237.64
 14,49.7018,81.9867,18.73,256.37
 15,49.0883,82.0367,19.91,276.27
 16,48.3335,82.5583,17.47,293.74
 17,47.5396,82.4933,16.79,310.53
 18,46.9017,83.0133,19.44,329.97
 19,46.3763,83.0433,19.97,349.94
 20,46.0843,83.0717,17.01,366.95
