 # model:cnn_small save: cnn_fashion dataset:MNIST epoch:20 attack:fgsm eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,96.0066,74.0067,19.90,19.90
 2,32.0287,90.3017,38.29,58.19
 3,20.8249,93.7067,57.62,115.81
 4,15.9666,94.9850,77.66,193.47
 5,13.1152,95.9150,96.06,289.53
 6,11.2621,96.3550,112.24,401.77
 7,10.0875,96.7617,130.73,532.50
 8,9.4029,96.9283,150.46,682.96
 9,8.4537,97.2633,167.70,850.66
 10,7.6432,97.4800,184.61,1035.27
 11,7.3250,97.5500,204.03,1239.30
 12,6.9011,97.7183,223.67,1462.97
 13,6.3362,97.9300,240.46,1703.43
 14,6.1654,98.0017,260.73,1964.17
 15,5.4142,98.2867,279.85,2244.02
 16,5.1208,98.3217,299.91,2543.92
 17,4.9244,98.4083,317.59,2861.51
 18,4.8074,98.4433,337.34,3198.85
 19,4.3286,98.5733,357.39,3556.25
 20,4.1455,98.6450,377.31,3933.55
