 # model:cnn_small save: cnn_fashion dataset:MNIST epoch:20 attack:pgd eps:0.0392
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,96.2803,74.0100,16.59,16.59
 2,32.2081,90.2633,17.70,34.29
 3,21.1892,93.5450,19.81,54.10
 4,16.0102,95.0100,19.11,73.22
 5,13.2198,95.9417,16.41,89.62
 6,11.5114,96.2983,19.87,109.49
 7,10.2260,96.7083,22.15,131.64
 8,9.4267,96.8983,18.38,150.02
 9,8.5506,97.2350,16.52,166.54
 10,7.8802,97.4767,18.63,185.17
 11,7.4402,97.4767,19.85,205.03
 12,6.9253,97.7683,17.78,222.80
 13,6.3746,97.9100,16.68,239.48
 14,5.9532,98.0283,18.94,258.43
 15,5.4103,98.3217,19.96,278.39
 16,5.2841,98.2483,17.19,295.57
 17,4.9988,98.3383,17.09,312.67
 18,4.7606,98.4433,19.19,331.86
 19,4.2694,98.6033,19.48,351.34
 20,4.2642,98.6167,16.14,367.48
