 Epoch, Train loss,Train acc, Learning Rate, Time, Time elapsed
 0, 2.3223,0.0266,0.0040,6.53,6.53
 1, 2.3030,0.0883,0.0080,4.89,11.42
 2, 2.3029,0.0972,0.0120,4.87,16.28
 3, 2.3029,0.0978,0.0160,4.87,21.16
 4, 2.3029,0.0962,0.0200,4.93,26.08
 5, 2.3029,0.0985,0.0240,4.90,30.98
 6, 2.3029,0.0978,0.0280,4.91,35.89
 7, 2.3029,0.0991,0.0280,4.89,40.79
 8, 2.3029,0.0997,0.0240,4.80,45.59
 9, 2.3029,0.0983,0.0200,4.84,50.43
 10, 2.3029,0.0990,0.0160,4.85,55.28
 11, 2.3029,0.0975,0.0120,4.83,60.10
 12, 2.3028,0.0981,0.0080,4.84,64.94
 13, 2.3027,0.0987,0.0040,4.80,69.75
 14, 2.3027,0.0968,0.0000,4.83,74.58
 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
 2.3026 	 	 0.1000 	 2.3026 	 0.0998
