 # Namespace(batch_size=256, data_dir='cifar-data', dataset='CIFAR10', model='cnn_small', epochs=40, lr_schedule='cyclic', lr_max=0.003, attack='fgsm', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.7017,0.0000,0.0000,0.1016,0.0039,0.0039,0.000000,0.23,0.81
 1,2.6260,0.0080,0.0000,0.1016,0.0352,0.0195,0.000048,0.01,6.79
 1,2.4153,0.0533,0.0156,0.1016,0.0430,0.0195,0.000096,0.01,10.51
 1,2.3286,0.0449,0.0742,0.1406,0.0781,0.0820,0.000144,0.01,14.28
 2,2.3128,0.0852,0.0469,0.1094,0.0625,0.0391,0.000192,0.01,19.76
 2,2.3123,0.0761,0.0625,0.0977,0.0664,0.0469,0.000240,0.01,25.03
 2,2.3089,0.0820,0.0977,0.0977,0.0625,0.0586,0.000288,0.01,30.42
 2,2.3035,0.0841,0.0625,0.1055,0.0977,0.0898,0.000337,0.01,34.00
 3,2.2940,0.1020,0.0664,0.1055,0.1016,0.1055,0.000385,0.02,37.99
 3,2.2918,0.1078,0.0625,0.1328,0.1133,0.1055,0.000433,0.01,42.63
 3,2.2842,0.1163,0.0898,0.1680,0.1367,0.1367,0.000481,0.01,48.25
 3,2.2735,0.1266,0.1133,0.1758,0.1602,0.1562,0.000529,0.01,53.66
 4,2.2571,0.1448,0.1172,0.1680,0.1602,0.1602,0.000577,0.01,58.24
 4,2.2393,0.1565,0.1641,0.2305,0.1758,0.1797,0.000625,0.01,61.97
 4,2.2300,0.1638,0.1484,0.2344,0.2031,0.1992,0.000673,0.01,65.47
 4,2.2164,0.1702,0.1719,0.2734,0.2109,0.2148,0.000721,0.01,71.01
 5,2.2188,0.1740,0.1680,0.2734,0.2656,0.2617,0.000769,0.04,77.14
