 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
0,2.7017,0.0,0.0,10.16,0.38999999999999996,0.38999999999999996,0.0,0.23,0.81
1,2.456633333333333,3.54,2.9933333333333336,11.459999999999999,5.21,4.033333333333333,9.6e-05,0.01,14.28
2,2.309375,8.185,6.74,10.2575,7.227500000000001,5.86,0.00026425,0.01,34.0
3,2.285875,11.317499999999999,8.3,14.552500000000002,12.795000000000002,12.5975,0.000457,0.0125,53.66
4,2.2357,15.8825,15.040000000000001,22.6575,18.75,18.8475,0.0006490000000000001,0.01,71.01
5,2.206575,17.5525,17.0925,28.32,23.535,23.0475,0.000841,0.0175,89.53
6,2.1795999999999998,18.785,17.8725,29.9825,22.95,22.56,0.001034,0.0125,109.39
7,2.146775,20.46,20.505000000000003,36.2325,25.0,25.2925,0.001226,0.0225,129.4
8,2.1170999999999998,21.455,23.0475,37.89,25.0975,24.025000000000002,0.001418,0.0225,147.53
9,2.0986000000000002,21.892500000000002,22.8525,38.6725,24.7075,24.415,0.00161075,0.0225,165.85
10,2.088125,22.065,23.6325,40.235,25.4875,25.0,0.001803,0.015000000000000001,186.26
11,2.0738,22.366666666666667,24.09,39.19,25.52,24.610000000000003,0.001971,0.02,200.85
12,2.068225,23.07,22.6575,39.8425,24.8025,23.925,0.00213925,0.015,218.99
13,2.063025,22.65,23.4375,40.1375,25.974999999999998,25.4875,0.002332,0.015,238.73
14,2.06235,22.85,21.975,40.43,25.487499999999997,24.7075,0.002524,0.0125,259.06
15,2.055125,23.0775,23.145,40.82,24.7075,24.22,0.002716,0.02,277.18
16,2.049975,23.3225,24.3175,41.1125,26.3675,25.195,0.002909,0.015,294.72
17,2.04485,23.452499999999997,21.8775,40.6225,26.66,25.587500000000002,0.002933,0.0125,314.54
18,2.0456250000000002,23.48,23.7325,42.2875,27.439999999999998,26.56,0.0028045,0.015,334.88
19,2.042275,23.5325,24.1225,41.8975,26.852500000000003,26.56,0.002676,0.015,353.0
20,2.039625,23.815,23.5375,40.525,25.097499999999997,24.22,0.002548,0.0125,370.57
21,2.039633333333333,23.616666666666667,22.66,41.67,25.520000000000003,24.87,0.0024360000000000002,0.016666666666666666,386.72
22,2.03225,24.154999999999998,23.2425,41.307500000000005,24.9,24.314999999999998,0.002324,0.02,405.69
23,2.027675,24.349999999999998,23.4375,42.4825,25.487499999999997,24.61,0.0021955,0.015,423.61
24,2.027275,24.2625,22.3675,41.894999999999996,24.61,24.025,0.0020670000000000003,0.02,442.7
25,2.024625,24.2175,22.165,43.2625,27.735,26.6575,0.0019390000000000002,0.02,463.16
26,2.0248749999999998,24.32,22.95,43.0675,24.705,24.22,0.0018110000000000001,0.0125,481.75
27,2.020925,24.2775,24.1225,45.8975,26.2675,25.4875,0.001683,0.015,499.84
28,2.0191749999999997,24.495,24.22,41.795,26.2675,25.682499999999997,0.0015545,0.0125,519.05
29,2.01695,24.6725,24.3175,43.165,27.242500000000003,26.365,0.001426,0.01,539.33
30,2.012725,24.7925,22.855,44.335,27.8325,27.244999999999997,0.0012980000000000001,0.017499999999999998,557.76
31,2.0114,24.64666666666667,24.35,43.10000000000001,26.040000000000003,25.39,0.001186,0.013333333333333334,571.02
32,2.0033250000000002,24.982499999999998,24.025000000000002,43.36,26.754999999999995,26.169999999999998,0.0010739999999999999,0.0275,590.91
33,2.00175,25.142500000000002,24.22,43.457499999999996,26.949999999999996,25.78,0.0009455,0.02,609.96
34,2.006125,24.81,23.44,44.6275,26.9525,25.2925,0.000817,0.0125,627.5
35,2.0015,25.040000000000003,23.5375,43.945,25.585,25.6825,0.0006889999999999999,0.01,646.34
36,1.996675,25.145,23.830000000000002,44.335,27.437499999999996,26.4625,0.000561,0.015000000000000001,666.79
37,1.99665,25.0675,22.95,45.4075,26.4675,25.974999999999998,0.000433,0.0125,686.25
38,1.99215,25.215,22.46,45.31,27.439999999999998,26.9525,0.0003045,0.015,703.99
39,1.99135,25.475,24.22,45.2125,27.6325,27.339999999999996,0.000176,0.0175,722.81
40,1.991025,25.5025,23.830000000000002,45.995,27.437499999999996,26.755000000000003,4.8e-05,0.015,743.14
