 # Namespace(batch_size=256, data_dir='cifar-data', dataset='CIFAR10', model='cnn_small', epochs=40, lr_schedule='cyclic', lr_max=0.003, attack='none', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.3046,0.0859,0.0000,0.1016,0.0039,0.0039,0.000000,0.31,1.30
 1,2.2923,0.1006,0.0000,0.1250,0.0000,0.0000,0.000048,0.02,8.64
 1,2.2426,0.1484,0.0000,0.2422,0.0000,0.0000,0.000096,0.02,14.09
 1,2.0921,0.2530,0.0078,0.3008,0.0117,0.0117,0.000144,0.01,18.06
 2,1.9161,0.3086,0.0000,0.3359,0.0039,0.0039,0.000192,0.02,22.08
 2,1.8920,0.3254,0.0000,0.3594,0.0156,0.0078,0.000240,0.01,26.10
 2,1.8052,0.3555,0.0000,0.3984,0.0078,0.0078,0.000288,0.01,31.75
 2,1.7561,0.3730,0.0039,0.3789,0.0078,0.0078,0.000337,0.01,37.42
 3,1.7021,0.3844,0.0078,0.4102,0.0117,0.0117,0.000385,0.01,42.51
 3,1.6742,0.4027,0.0000,0.4141,0.0195,0.0078,0.000433,0.01,46.34
 3,1.6351,0.4069,0.0039,0.4414,0.0117,0.0039,0.000481,0.02,50.09
 3,1.6129,0.4141,0.0000,0.4336,0.0117,0.0078,0.000529,0.02,55.45
 4,1.5973,0.4279,0.0039,0.4688,0.0117,0.0078,0.000577,0.01,61.44
 4,1.5638,0.4352,0.0000,0.4727,0.0078,0.0039,0.000625,0.02,66.89
 4,1.5364,0.4474,0.0039,0.4727,0.0039,0.0039,0.000673,0.01,70.76
 4,1.5323,0.4456,0.0039,0.4844,0.0039,0.0039,0.000721,0.01,74.38
 5,1.4891,0.4582,0.0039,0.4922,0.0078,0.0039,0.000769,0.01,79.55
 5,1.4964,0.4570,0.0078,0.4727,0.0039,0.0039,0.000817,0.01,85.34
 5,1.4692,0.4692,0.0039,0.4922,0.0117,0.0039,0.000865,0.01,90.65
 5,1.4932,0.4602,0.0039,0.5117,0.0078,0.0039,0.000913,0.01,94.41
 6,1.4525,0.4703,0.0078,0.5195,0.0117,0.0078,0.000962,0.01,98.58
 6,1.4397,0.4816,0.0039,0.4844,0.0078,0.0078,0.001010,0.01,103.22
 6,1.4201,0.4910,0.0039,0.5234,0.0117,0.0039,0.001058,0.02,108.54
 6,1.4290,0.4880,0.0078,0.5078,0.0078,0.0039,0.001106,0.01,114.14
 7,1.4261,0.4882,0.0039,0.5273,0.0117,0.0039,0.001154,0.01,118.88
 7,1.3951,0.5009,0.0039,0.5234,0.0117,0.0039,0.001202,0.01,122.60
 7,1.3934,0.4938,0.0000,0.5508,0.0078,0.0039,0.001250,0.02,126.55
 7,1.3929,0.5027,0.0039,0.5078,0.0078,0.0039,0.001298,0.02,132.23
 8,1.3819,0.5028,0.0039,0.4805,0.0117,0.0078,0.001346,0.02,138.06
 8,1.3410,0.5226,0.0039,0.5234,0.0039,0.0039,0.001394,0.01,142.90
 8,1.3539,0.5073,0.0039,0.5430,0.0078,0.0039,0.001442,0.01,146.68
 8,1.3402,0.5171,0.0039,0.5234,0.0039,0.0039,0.001490,0.01,150.37
 9,1.3471,0.5100,0.0078,0.5430,0.0117,0.0039,0.001538,0.01,155.86
 9,1.3258,0.5282,0.0039,0.5234,0.0039,0.0039,0.001587,0.01,161.61
 9,1.3379,0.5211,0.0039,0.5195,0.0156,0.0078,0.001635,0.03,166.88
 9,1.3283,0.5252,0.0039,0.5195,0.0039,0.0039,0.001683,0.01,170.59
 10,1.3126,0.5279,0.0039,0.5234,0.0078,0.0078,0.001731,0.01,174.63
 10,1.2883,0.5448,0.0000,0.5820,0.0078,0.0039,0.001779,0.03,179.08
 10,1.3069,0.5317,0.0000,0.5664,0.0117,0.0078,0.001827,0.02,184.77
 10,1.2700,0.5441,0.0000,0.5703,0.0078,0.0039,0.001875,0.01,189.88
 11,1.2741,0.5456,0.0000,0.5586,0.0039,0.0039,0.001923,0.02,195.21
 11,1.2908,0.5416,0.0000,0.5469,0.0078,0.0039,0.001971,0.01,198.84
 11,1.2599,0.5468,0.0000,0.5703,0.0039,0.0039,0.002019,0.01,202.57
 12,1.2333,0.5594,0.0039,0.5586,0.0117,0.0078,0.002067,0.02,208.55
 12,1.2610,0.5503,0.0000,0.5508,0.0078,0.0039,0.002115,0.02,214.26
 12,1.2556,0.5535,0.0000,0.5000,0.0078,0.0000,0.002163,0.01,219.14
 12,1.2183,0.5698,0.0000,0.5742,0.0117,0.0039,0.002212,0.01,222.80
 13,1.2631,0.5480,0.0000,0.6055,0.0039,0.0039,0.002260,0.01,226.86
 13,1.2405,0.5559,0.0000,0.5703,0.0039,0.0000,0.002308,0.02,232.28
 13,1.2072,0.5707,0.0039,0.5977,0.0039,0.0000,0.002356,0.04,237.90
 13,1.2339,0.5601,0.0000,0.5469,0.0156,0.0078,0.002404,0.01,243.54
 14,1.2156,0.5664,0.0000,0.6055,0.0078,0.0000,0.002452,0.02,247.64
 14,1.1909,0.5702,0.0039,0.5508,0.0078,0.0039,0.002500,0.01,251.20
 14,1.1917,0.5738,0.0039,0.5820,0.0078,0.0039,0.002548,0.04,255.63
 14,1.1815,0.5763,0.0000,0.5859,0.0117,0.0039,0.002596,0.01,261.16
 15,1.1555,0.5850,0.0000,0.6055,0.0078,0.0039,0.002644,0.02,267.28
 15,1.1897,0.5755,0.0000,0.5703,0.0078,0.0000,0.002692,0.01,271.85
 15,1.1804,0.5770,0.0000,0.6211,0.0195,0.0078,0.002740,0.02,275.52
 15,1.1692,0.5804,0.0000,0.6133,0.0117,0.0039,0.002788,0.01,279.21
 16,1.1866,0.5773,0.0000,0.5977,0.0117,0.0000,0.002837,0.01,285.23
 16,1.1561,0.5896,0.0000,0.6289,0.0117,0.0000,0.002885,0.01,290.73
 16,1.1689,0.5793,0.0000,0.5898,0.0078,0.0000,0.002933,0.02,295.32
 16,1.1534,0.5921,0.0000,0.6094,0.0195,0.0000,0.002981,0.02,299.08
 17,1.1347,0.5938,0.0000,0.6094,0.0156,0.0078,0.002981,0.02,302.98
 17,1.1225,0.5994,0.0000,0.5977,0.0039,0.0000,0.002949,0.01,308.61
 17,1.1602,0.5848,0.0000,0.6523,0.0117,0.0039,0.002917,0.01,313.90
 17,1.1326,0.5918,0.0000,0.6211,0.0195,0.0078,0.002885,0.01,319.19
 18,1.1018,0.6080,0.0000,0.6094,0.0156,0.0039,0.002853,0.01,323.24
 18,1.1144,0.6064,0.0000,0.6172,0.0039,0.0039,0.002821,0.01,326.93
 18,1.1151,0.6030,0.0000,0.6406,0.0195,0.0078,0.002788,0.02,331.65
 18,1.1052,0.6066,0.0000,0.6328,0.0117,0.0039,0.002756,0.01,337.17
 19,1.1179,0.6006,0.0000,0.5977,0.0156,0.0039,0.002724,0.04,343.38
 19,1.1070,0.6085,0.0000,0.5977,0.0117,0.0000,0.002692,0.01,347.49
 19,1.1084,0.6039,0.0000,0.6172,0.0078,0.0000,0.002660,0.01,351.26
 19,1.0805,0.6129,0.0000,0.6406,0.0078,0.0078,0.002628,0.02,354.92
 20,1.0777,0.6146,0.0039,0.6641,0.0195,0.0039,0.002596,0.02,361.16
 20,1.0820,0.6143,0.0000,0.6289,0.0078,0.0000,0.002564,0.02,366.74
 20,1.0951,0.6102,0.0000,0.6680,0.0117,0.0078,0.002532,0.02,371.07
 20,1.0786,0.6236,0.0000,0.6133,0.0078,0.0000,0.002500,0.00,374.47
 21,1.0530,0.6249,0.0000,0.6250,0.0039,0.0039,0.002468,0.01,378.83
 21,1.0752,0.6179,0.0000,0.6367,0.0117,0.0078,0.002436,0.01,384.58
 21,1.0630,0.6198,0.0000,0.6602,0.0195,0.0078,0.002404,0.02,390.14
 22,1.0427,0.6297,0.0000,0.6328,0.0156,0.0039,0.002372,0.02,395.47
 22,1.0209,0.6343,0.0000,0.6484,0.0156,0.0000,0.002340,0.02,399.40
 22,1.0350,0.6304,0.0000,0.6289,0.0078,0.0039,0.002308,0.02,403.00
 22,1.0573,0.6198,0.0000,0.6445,0.0078,0.0000,0.002276,0.03,407.92
 23,0.9627,0.6648,0.0000,0.6211,0.0156,0.0000,0.002244,0.02,413.79
 23,1.0500,0.6289,0.0000,0.6289,0.0117,0.0000,0.002212,0.01,419.37
 23,1.0309,0.6335,0.0000,0.6680,0.0078,0.0039,0.002179,0.01,423.59
 23,1.0262,0.6338,0.0000,0.6367,0.0117,0.0078,0.002147,0.01,427.23
 24,1.0353,0.6372,0.0000,0.6523,0.0117,0.0000,0.002115,0.02,431.68
 24,1.0063,0.6411,0.0000,0.6758,0.0156,0.0000,0.002083,0.03,437.44
 24,1.0131,0.6420,0.0000,0.6797,0.0078,0.0039,0.002051,0.02,442.71
 24,1.0124,0.6377,0.0000,0.6641,0.0195,0.0078,0.002019,0.02,447.44
 25,1.0143,0.6414,0.0000,0.6758,0.0117,0.0039,0.001987,0.01,451.39
 25,1.0133,0.6434,0.0000,0.6445,0.0078,0.0000,0.001955,0.01,455.00
 25,1.0107,0.6422,0.0000,0.6406,0.0078,0.0000,0.001923,0.01,460.35
 25,0.9958,0.6489,0.0000,0.6797,0.0156,0.0000,0.001891,0.02,465.76
 26,0.9882,0.6439,0.0000,0.6133,0.0078,0.0000,0.001859,0.01,471.38
 26,0.9885,0.6519,0.0000,0.6797,0.0156,0.0000,0.001827,0.01,475.19
 26,0.9882,0.6520,0.0000,0.7070,0.0078,0.0000,0.001795,0.01,478.96
 26,0.9847,0.6528,0.0000,0.6680,0.0117,0.0039,0.001763,0.01,483.50
 27,0.9750,0.6493,0.0000,0.6602,0.0117,0.0039,0.001731,0.01,489.44
 27,0.9877,0.6479,0.0000,0.6875,0.0078,0.0039,0.001699,0.01,495.03
 27,0.9884,0.6500,0.0000,0.6836,0.0078,0.0000,0.001667,0.02,499.11
 27,0.9784,0.6488,0.0000,0.6836,0.0039,0.0000,0.001635,0.01,502.96
 28,0.9775,0.6589,0.0000,0.6602,0.0117,0.0000,0.001603,0.02,506.94
 28,0.9487,0.6602,0.0000,0.6875,0.0078,0.0000,0.001571,0.01,512.76
 28,0.9650,0.6534,0.0000,0.6953,0.0078,0.0000,0.001538,0.01,518.16
 28,0.9562,0.6572,0.0000,0.7148,0.0156,0.0039,0.001506,0.01,523.24
 29,0.9577,0.6633,0.0000,0.6875,0.0078,0.0000,0.001474,0.02,527.20
