 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
0,2.7823,0.0,0.0,10.16,0.38999999999999996,0.38999999999999996,0.0,0.68,1.54
1,2.5071999999999997,2.0733333333333333,4.036666666666667,11.72,5.336666666666668,3.9033333333333338,9.6e-05,0.09666666666666668,20.19
2,2.3056,8.765,10.352500000000001,10.155,9.4725,9.2775,0.00026425,0.09,43.62
3,2.3033,9.9325,8.4925,10.2575,10.16,10.16,0.000457,0.1,68.17
4,2.3028500000000003,9.8125,10.0575,8.2025,8.105,8.005,0.0006490000000000001,0.0975,92.52
5,2.3027,9.7725,9.275,11.33,11.33,11.33,0.000841,0.0875,117.09
6,2.3026750000000002,9.92,10.155,11.7175,11.7175,11.7175,0.001034,0.08499999999999999,141.54
7,2.3026750000000002,9.7875,10.1575,9.375,9.375,9.375,0.001226,0.08,166.06
8,2.3027,9.695,9.3725,11.0375,11.0375,11.0375,0.001418,0.0775,189.73
9,2.3027,9.6075,10.935,8.690000000000001,8.690000000000001,8.690000000000001,0.00161075,0.08499999999999999,213.5
10,2.302725,9.805,9.475,10.255,10.255,10.255,0.001803,0.075,236.77
11,2.3027333333333337,9.813333333333334,8.983333333333334,8.200000000000001,8.200000000000001,8.200000000000001,0.001971,0.08,254.1
12,2.302575,9.575,9.4725,11.2325,11.524999999999999,11.524999999999999,0.00213925,0.08750000000000001,278.01
13,2.217775,17.185,16.5025,26.2675,21.68,21.3875,0.002332,0.1,302.5
14,2.16015,19.645000000000003,20.1175,33.4,23.435,23.3425,0.002524,0.09,326.33
15,2.1418,20.5,19.2375,34.28,23.830000000000002,23.830000000000002,0.002716,0.0825,350.54
16,2.130575,21.02,21.68,35.839999999999996,25.195,24.707500000000003,0.002909,0.0825,374.52
17,2.12495,21.2025,21.2875,37.792500000000004,25.78,25.39,0.002933,0.105,398.7
18,2.117675,21.212500000000002,22.4625,38.1825,26.6575,26.365,0.0028045,0.0825,423.26
19,2.1149750000000003,21.3825,21.975,37.597500000000004,25.585,25.2925,0.002676,0.08499999999999999,447.67
20,2.106725,21.9025,21.975,36.0375,23.2425,23.2425,0.002548,0.095,472.03
21,2.1062666666666665,21.576666666666668,20.44,36.2,23.57,23.30666666666667,0.0024360000000000002,0.09000000000000001,492.02
22,2.0979,21.990000000000002,21.7775,37.89,25.195,25.4875,0.002324,0.0775,516.31
23,2.099,21.9575,21.384999999999998,37.792500000000004,25.195,24.61,0.0021955,0.08499999999999999,540.57
24,2.096375,22.075,22.07,37.11,23.635,23.635,0.0020670000000000003,0.10250000000000001,564.54
25,2.092475,22.265,21.482499999999998,37.695,24.22,24.025,0.0019390000000000002,0.08,588.35
26,2.093,22.3325,21.482499999999998,37.11,24.805,24.7075,0.0018110000000000001,0.0875,612.48
27,2.0917,22.357499999999998,22.17,38.3775,25.4875,24.9025,0.001683,0.085,636.71
28,2.0911,22.285,21.68,37.5,24.3175,24.025000000000002,0.0015545,0.08750000000000001,660.28
29,2.087625,22.3925,22.1675,38.7675,26.949999999999996,26.56,0.001426,0.0625,683.28
30,2.0846999999999998,22.675,22.17,38.085,26.66,26.27,0.0012980000000000001,0.0725,706.81
31,2.0823666666666667,22.513333333333332,21.093333333333334,38.54,25.259999999999998,25.52,0.001186,0.08,726.29
32,2.077625,23.095,21.8725,37.305,25.78,25.78,0.0010739999999999999,0.0875,750.52
33,2.0772500000000003,23.115,21.7775,38.475,27.047500000000003,26.949999999999996,0.0009455,0.10500000000000001,775.23
34,2.07965,22.345000000000002,21.9725,37.987500000000004,25.195,25.0,0.000817,0.095,799.82
35,2.0786249999999997,22.835,21.3875,38.1825,25.2925,24.61,0.0006889999999999999,0.085,824.14
36,2.0736,22.8775,21.384999999999998,38.28,25.6825,25.78,0.000561,0.11,848.04
37,2.0746,22.8575,20.8,38.7675,26.169999999999998,25.2925,0.000433,0.08,872.13
38,2.0728,22.895,21.287499999999998,38.7675,27.3425,26.7575,0.0003045,0.0925,895.77
39,2.0709999999999997,23.2,21.88,38.865,26.855,26.852500000000003,0.000176,0.0775,919.25
40,2.0715500000000002,23.235,21.875,39.1575,26.56,26.2675,4.8e-05,0.055,942.63
