 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
0,2.3979,0.0,0.0,12.889999999999999,0.0,0.0,0.0,0.11,0.53
1,1.7172999999999998,34.9275,41.407500000000006,59.667500000000004,44.045,42.1875,0.00020025000000000002,0.015,13.34
2,0.73978,71.212,72.42200000000001,82.34400000000001,74.766,73.83,0.000561,0.012,25.67
3,0.6361800000000001,75.21799999999999,75.468,84.22,76.952,75.468,0.0009616,0.014000000000000002,41.22
4,0.587925,77.09,77.92750000000001,84.7675,79.10249999999999,77.4375,0.0013219999999999998,0.01,50.65
5,0.55726,78.41199999999999,79.06,85.784,78.828,77.576,0.0016828,0.016,68.16
6,0.53138,79.24200000000002,79.84400000000001,85.62799999999999,79.534,78.278,0.0020832,0.014000000000000002,83.19
7,0.5116499999999999,79.9125,79.785,86.72,80.9575,80.5675,0.002444,0.025,95.85
8,0.50452,80.17199999999998,79.76599999999999,87.11,80.08,79.298,0.0028044,0.012,108.32
9,0.48926,80.74199999999999,81.25,87.578,81.64,80.392,0.0028632,0.022,123.18
10,0.474875,81.205,81.93249999999999,88.47500000000001,82.42,81.3475,0.002623,0.0125,133.44
11,0.46734,81.33399999999999,81.016,87.89,82.342,81.016,0.0023824,0.018,148.36
12,0.45271999999999996,81.928,81.874,88.51400000000001,82.342,80.548,0.0021154,0.022,161.6
13,0.445075,82.2025,82.9075,88.9625,82.615,81.44500000000001,0.001875,0.015,173.49
14,0.43426,82.83,82.186,88.27999999999999,82.498,81.562,0.0016346,0.016,186.54
15,0.42854000000000003,82.994,82.89,89.294,82.498,81.874,0.0013676,0.02,200.58
16,0.419875,83.26750000000001,83.39999999999999,89.3525,82.7125,81.93249999999999,0.001127,0.015000000000000001,211.69
17,0.41386,83.674,84.142,89.216,83.27799999999999,82.41999999999999,0.0008868000000000001,0.014000000000000002,225.76
18,0.40306,83.91199999999999,83.66999999999999,89.606,82.342,81.562,0.0006196,0.018,240.17
19,0.394425,84.185,83.3,89.45,83.005,82.3225,0.00037925000000000003,0.01,251.0
20,0.37868,85.054,84.138,90.31,83.27799999999999,82.108,0.0001388,0.02,265.31
