 # Namespace(batch_size=256, data_dir='cifar-data', dataset='FashionMNIST', model='cnn_small', epochs=20, lr_schedule='cyclic', lr_max=0.003, attack='none', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.3093,0.1289,0.0000,0.1289,0.0000,0.0000,0.000000,0.14,0.55
 1,2.2847,0.2116,0.0195,0.3398,0.0703,0.0469,0.000080,0.01,4.00
 1,1.9012,0.5216,0.4609,0.6836,0.4922,0.4883,0.000160,0.01,7.04
 1,0.8354,0.7327,0.5859,0.7773,0.5977,0.5938,0.000240,0.01,10.19
 1,0.6256,0.7725,0.5938,0.7812,0.5625,0.5547,0.000321,0.01,13.29
 2,0.5532,0.8030,0.6133,0.8203,0.6562,0.6484,0.000401,0.01,16.74
 2,0.5248,0.8105,0.6328,0.8203,0.6641,0.6562,0.000481,0.01,18.88
 2,0.4972,0.8218,0.5898,0.8320,0.6445,0.6406,0.000561,0.01,20.97
 2,0.4761,0.8334,0.5469,0.8750,0.5742,0.5547,0.000641,0.01,23.04
 2,0.4595,0.8389,0.5703,0.8516,0.5977,0.5898,0.000721,0.02,25.11
 3,0.4300,0.8479,0.5508,0.8672,0.5742,0.5664,0.000801,0.02,27.84
 3,0.4224,0.8519,0.5430,0.8711,0.5703,0.5625,0.000881,0.01,31.06
 3,0.3901,0.8577,0.5156,0.8555,0.5039,0.4844,0.000962,0.02,34.02
 3,0.4070,0.8539,0.4961,0.8828,0.5703,0.5547,0.001042,0.01,37.28
 3,0.3888,0.8632,0.5000,0.8750,0.5586,0.5469,0.001122,0.01,40.16
 4,0.3664,0.8737,0.4961,0.8750,0.5117,0.4883,0.001202,0.02,43.25
 4,0.3687,0.8652,0.5000,0.8867,0.4844,0.4570,0.001282,0.01,45.31
 4,0.3668,0.8683,0.4258,0.8750,0.4609,0.4414,0.001362,0.01,47.39
 4,0.3431,0.8757,0.4570,0.8828,0.4531,0.4297,0.001442,0.01,49.37
 5,0.3339,0.8823,0.4336,0.8789,0.4727,0.4453,0.001522,0.01,51.75
