 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
0,2.3093,12.889999999999999,0.0,12.889999999999999,0.0,0.0,0.0,0.14,0.55
1,1.4117250000000001,55.96,41.5025,64.5475,43.0675,42.0925,0.00020025000000000002,0.01,13.29
2,0.50216,82.15199999999999,59.062000000000005,83.98400000000001,62.734,61.794,0.000561,0.012,25.11
3,0.40766,85.49199999999999,52.11,87.03200000000001,55.54600000000001,54.298,0.0009616,0.014000000000000002,40.16
4,0.36125,87.07249999999999,46.972500000000004,87.9875,47.7525,45.410000000000004,0.0013219999999999998,0.0125,49.37
5,0.33296000000000003,88.178,42.577999999999996,87.578,43.04599999999999,40.392,0.0016828,0.012,63.92
6,0.31218,88.65,41.486000000000004,89.05999999999999,43.516000000000005,39.608,0.0020832,0.016,76.67
7,0.289025,89.3625,37.9875,89.05999999999999,39.2575,35.155,0.002444,0.0125,92.84
8,0.27886,89.77999999999999,35.077999999999996,89.45,37.11000000000001,31.486000000000004,0.0028044,0.012,104.14
9,0.25964,90.534,35.704,89.998,39.532000000000004,32.578,0.0028632,0.016,119.39
10,0.244775,90.9725,33.01,89.84,36.72,29.59,0.002623,0.0175,128.05
11,0.22965999999999998,91.502,33.358,89.68399999999998,38.516,30.468,0.0023824,0.016,143.7
12,0.21608,92.014,32.97,90.154,37.346000000000004,28.044000000000004,0.0021154,0.01,155.32
13,0.203825,92.52,29.7875,90.72,35.06,26.465,0.001875,0.015,168.31
14,0.1905,93.08,30.624000000000002,90.07400000000001,35.31399999999999,25.782,0.0016346,0.01,179.31
15,0.17754,93.57799999999999,27.734,90.23199999999999,34.064,23.986,0.0013676,0.012,194.55
16,0.167775,93.86,28.712500000000002,91.21000000000001,32.815,24.805,0.001127,0.0125,203.3
17,0.15624,94.54,26.949999999999996,90.546,31.25,22.894000000000002,0.0008868000000000001,0.014000000000000002,218.67
18,0.14172,94.91,25.545999999999996,90.388,33.202,23.203999999999997,0.0006196,0.012,230.18
19,0.126925,95.685,24.122500000000002,90.82000000000001,29.005000000000003,20.6025,0.00037925000000000003,0.015,243.02
20,0.11313999999999999,96.194,24.064000000000004,90.388,29.531999999999996,21.484,0.0001388,0.01,254.09
