 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
0,2.4246,0.0,0.0,12.889999999999999,0.0,0.0,0.0,0.48,0.94
1,1.73,33.9375,43.165,58.985,45.410000000000004,43.555,0.00020025000000000002,0.052500000000000005,16.89
2,0.75088,70.914,72.89,81.71800000000002,74.298,73.908,0.000561,0.052000000000000005,37.62
3,0.64488,74.96,76.95,84.062,77.264,76.64,0.0009616,0.052000000000000005,57.39
4,0.59715,76.66999999999999,79.2,85.16,78.0275,77.5375,0.0013219999999999998,0.0475,71.41
5,0.56718,77.778,80.86,85.94,78.516,77.888,0.0016828,0.052000000000000005,91.25
6,0.54574,78.768,81.64,85.47200000000001,79.456,79.22200000000001,0.0020832,0.064,111.72
7,0.525525,79.2625,81.05499999999999,86.2325,81.44500000000001,81.05499999999999,0.002444,0.06,127.47
8,0.51752,79.488,80.39200000000001,86.798,80.158,79.45400000000001,0.0028044,0.052000000000000005,145.79
9,0.5047200000000001,80.05000000000001,81.016,86.33,81.172,80.704,0.0028632,0.048,166.66
10,0.490525,80.405,82.1275,87.89,82.03,81.64,0.002623,0.06,186.49
11,0.48196000000000006,80.762,83.044,87.188,81.952,81.64,0.0023824,0.052000000000000005,206.26
12,0.46638,81.37599999999999,82.342,88.436,82.26400000000001,81.484,0.0021154,0.054000000000000006,224.28
13,0.458675,81.64,82.615,88.67,83.69,83.2,0.001875,0.0525,240.07
14,0.44802,82.198,82.732,87.89,82.89,82.57600000000001,0.0016346,0.05600000000000001,260.78
15,0.44238,82.312,83.90599999999999,88.27999999999999,82.968,82.732,0.0013676,0.05,280.72
16,0.433325,82.745,83.105,88.7675,83.395,82.9075,0.001127,0.052500000000000005,294.4
17,0.4265,83.07,84.454,89.52799999999999,83.594,83.35799999999999,0.0008868000000000001,0.05800000000000001,314.53
18,0.41803999999999997,83.27600000000001,84.53200000000001,89.138,83.592,83.12199999999999,0.0006196,0.05,335.32
19,0.408775,83.60499999999999,83.885,89.45,83.1025,82.9075,0.00037925000000000003,0.055,350.67
20,0.3931,84.48800000000001,83.98400000000001,90.07400000000001,83.51200000000001,83.044,0.0001388,0.057999999999999996,369.05
