 # Namespace(batch_size=256, data_dir='cifar-data', dataset='MNIST', model='cnn_small', epochs=20, lr_schedule='cyclic', lr_max=0.003, attack='fgsm', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.3392,0.0430,0.0039,0.1445,0.0156,0.0000,0.000000,0.19,0.84
 1,2.3245,0.0680,0.0625,0.3633,0.1133,0.0508,0.000080,0.02,4.94
 1,2.1709,0.3782,0.5664,0.6602,0.5625,0.4922,0.000160,0.03,7.11
 1,1.2347,0.6794,0.7539,0.8398,0.7500,0.7031,0.000240,0.02,9.29
 1,0.6078,0.8158,0.8125,0.9141,0.8516,0.7969,0.000321,0.02,11.36
 2,0.4080,0.8787,0.8633,0.9336,0.8828,0.8594,0.000401,0.01,13.83
 2,0.3859,0.8834,0.9062,0.9727,0.9414,0.9219,0.000481,0.02,16.43
 2,0.2933,0.9134,0.9219,0.9805,0.9609,0.9453,0.000561,0.01,19.66
 2,0.2493,0.9264,0.9375,0.9844,0.9688,0.9688,0.000641,0.02,22.99
 2,0.2117,0.9327,0.9375,0.9922,0.9805,0.9805,0.000721,0.01,26.04
 3,0.1867,0.9413,0.9375,0.9844,0.9727,0.9648,0.000801,0.02,29.69
 3,0.1668,0.9491,0.9453,0.9844,0.9727,0.9727,0.000881,0.01,32.11
 3,0.1570,0.9511,0.9375,0.9883,0.9805,0.9805,0.000962,0.01,34.29
 3,0.1444,0.9535,0.9492,0.9922,0.9844,0.9844,0.001042,0.02,36.39
 3,0.1456,0.9560,0.9570,0.9883,0.9727,0.9727,0.001122,0.01,38.46
 4,0.1301,0.9583,0.9570,0.9922,0.9688,0.9648,0.001202,0.02,41.32
 4,0.1341,0.9586,0.9531,0.9961,0.9766,0.9727,0.001282,0.01,44.54
 4,0.1131,0.9655,0.9609,0.9961,0.9883,0.9883,0.001362,0.01,47.76
 4,0.1143,0.9641,0.9531,0.9922,0.9805,0.9805,0.001442,0.01,50.97
 5,0.1087,0.9676,0.9531,0.9922,0.9883,0.9766,0.001522,0.02,54.74
 5,0.1058,0.9673,0.9688,0.9922,0.9805,0.9805,0.001603,0.02,57.18
 5,0.1094,0.9652,0.9648,0.9922,0.9883,0.9883,0.001683,0.01,59.22
 5,0.0944,0.9707,0.9609,0.9922,0.9844,0.9844,0.001763,0.02,61.36
 5,0.0966,0.9697,0.9609,0.9883,0.9805,0.9766,0.001843,0.01,63.48
 6,0.0761,0.9743,0.9688,0.9922,0.9883,0.9883,0.001923,0.03,66.10
 6,0.0824,0.9754,0.9648,0.9883,0.9727,0.9727,0.002003,0.03,69.26
 6,0.0914,0.9731,0.9609,0.9922,0.9844,0.9844,0.002083,0.03,72.40
 6,0.1008,0.9672,0.9531,0.9883,0.9805,0.9688,0.002163,0.01,75.76
 6,0.0988,0.9687,0.9531,0.9883,0.9844,0.9805,0.002244,0.01,78.84
