 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
0,2.3392,0.043,0.0039,0.1445,0.0156,0.0,0.0,0.19,0.84
1,1.584475,0.48534999999999995,0.548825,0.69435,0.56935,0.51075,0.00020025000000000002,0.0225,11.36
2,0.30964,0.9069200000000001,0.91328,0.9726800000000001,0.9468799999999999,0.9351800000000001,0.000561,0.014000000000000002,26.04
3,0.1601,0.9502,0.9452999999999999,0.98752,0.9766,0.97502,0.0009616,0.014000000000000002,38.46
4,0.1229,0.961625,0.9560249999999999,0.99415,0.97855,0.976575,0.0013219999999999998,0.0125,50.97
5,0.10298,0.9681000000000001,0.9616999999999999,0.99142,0.9843999999999999,0.9812799999999999,0.0016828,0.016,63.48
6,0.08990000000000001,0.9717399999999999,0.96014,0.98986,0.98206,0.97894,0.0020832,0.022,78.84
7,0.0779,0.9753499999999999,0.964825,0.9931749999999999,0.9863500000000001,0.9814750000000001,0.002444,0.0175,88.34
8,0.07404,0.97604,0.9711399999999999,0.99298,0.98284,0.9812799999999999,0.0028044,0.016,103.48
9,0.07128,0.97644,0.97112,0.99454,0.9843999999999999,0.9836199999999999,0.0028632,0.012,115.33
10,0.06155,0.9801249999999999,0.972675,0.99415,0.9863500000000001,0.98245,0.002623,0.02,128.45
11,0.05602,0.9818199999999999,0.97424,0.99298,0.9843999999999999,0.98284,0.0023824,0.014000000000000002,139.85
12,0.051059999999999994,0.9829800000000001,0.97348,0.99142,0.9836199999999999,0.98284,0.0021154,0.02,155.55
13,0.045425,0.985125,0.97365,0.9922,0.9805,0.979525,0.001875,0.02,164.79
14,0.03886,0.9880800000000001,0.9781600000000001,0.9953199999999999,0.9883,0.98752,0.0016346,0.022,180.36
15,0.03596,0.9886799999999999,0.9781600000000001,0.9953199999999999,0.98752,0.9859600000000001,0.0013676,0.012,192.55
16,0.032625,0.9899,0.979525,0.9931749999999999,0.9863500000000001,0.98245,0.001127,0.017499999999999998,205.42
17,0.025580000000000002,0.99292,0.9812799999999999,0.99298,0.9859600000000001,0.9844000000000002,0.0008868000000000001,0.014000000000000002,217.82
18,0.02186,0.9937400000000001,0.9812799999999999,0.9961,0.98986,0.98752,0.0006196,0.024,232.56
19,0.017575,0.9958,0.9883,0.99415,0.989275,0.9863500000000001,0.00037925000000000003,0.0175,242.28
20,0.01616,0.9967,0.9883,0.99454,0.98674,0.9851800000000001,0.0001388,0.018,259.5
