 # Namespace(batch_size=256, data_dir='cifar-data', dataset='MNIST', model='cnn_small', epochs=20, lr_schedule='cyclic', lr_max=0.003, attack='none', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 0,2.2942,0.1641,0.0039,0.1445,0.0156,0.0000,0.000000,0.24,0.74
 1,2.2771,0.2276,0.0547,0.3516,0.0977,0.0664,0.000080,0.02,4.83
 1,2.0092,0.5252,0.6094,0.7188,0.5352,0.5234,0.000160,0.01,7.94
 1,0.8672,0.8007,0.7109,0.8711,0.6758,0.6758,0.000240,0.02,10.07
 1,0.4162,0.8805,0.7227,0.8984,0.7070,0.7070,0.000321,0.01,12.13
 2,0.3011,0.9167,0.7891,0.9258,0.7305,0.7305,0.000401,0.01,14.58
 2,0.3007,0.9127,0.8125,0.9453,0.7773,0.7695,0.000481,0.01,16.71
 2,0.2451,0.9269,0.7930,0.9570,0.8047,0.7891,0.000561,0.02,19.28
 2,0.2135,0.9378,0.8125,0.9609,0.7734,0.7617,0.000641,0.02,22.33
 2,0.1800,0.9474,0.8320,0.9844,0.8672,0.8359,0.000721,0.02,25.66
 3,0.1527,0.9564,0.8359,0.9844,0.8398,0.8242,0.000801,0.01,29.27
 3,0.1266,0.9628,0.8633,0.9805,0.8789,0.8750,0.000881,0.02,32.50
 3,0.1177,0.9648,0.8711,0.9883,0.8984,0.8828,0.000962,0.01,34.79
 3,0.1033,0.9681,0.8867,0.9922,0.9219,0.9023,0.001042,0.01,36.94
 3,0.1063,0.9695,0.8984,0.9883,0.9180,0.9102,0.001122,0.00,38.97
 4,0.0874,0.9726,0.8906,0.9883,0.9102,0.8984,0.001202,0.01,41.49
 4,0.0936,0.9721,0.8945,0.9883,0.8711,0.8516,0.001282,0.01,43.82
 4,0.0801,0.9768,0.9258,0.9844,0.9258,0.9141,0.001362,0.01,47.08
 4,0.0768,0.9761,0.8867,0.9805,0.9023,0.8867,0.001442,0.03,50.16
 5,0.0762,0.9763,0.8828,0.9883,0.8945,0.8867,0.001522,0.01,53.95
 5,0.0698,0.9791,0.9102,0.9883,0.9258,0.9180,0.001603,0.02,57.03
