 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
0,2.2942,0.1641,0.0039,0.1445,0.0156,0.0,0.0,0.24,0.74
1,1.392425,0.6085,0.524425,0.709975,0.503925,0.49315,0.00020025000000000002,0.015000000000000001,12.13
2,0.24808,0.9282999999999999,0.8078200000000001,0.95468,0.79062,0.77734,0.000561,0.016,25.66
3,0.12132000000000001,0.9643200000000001,0.8710799999999999,0.98674,0.8914,0.8789,0.0009616,0.01,38.97
4,0.084475,0.9743999999999999,0.8994,0.985375,0.90235,0.8877,0.0013219999999999998,0.015,50.16
5,0.06844,0.97942,0.9038999999999999,0.98986,0.9203199999999999,0.9077999999999999,0.0016828,0.018,63.81
6,0.05858,0.98206,0.9047000000000001,0.98986,0.9336,0.9226800000000001,0.0020832,0.018,78.49
7,0.04725,0.984575,0.91505,0.9922,0.93945,0.93165,0.002444,0.015,92.46
8,0.04574,0.98532,0.9226800000000001,0.98986,0.93828,0.9265800000000001,0.0028044,0.02,107.98
9,0.04304,0.98594,0.9336,0.9922000000000001,0.9484199999999999,0.9390599999999999,0.0028632,0.012,119.38
10,0.0356,0.98845,0.932625,0.9931749999999999,0.93945,0.933575,0.002623,0.0125,132.41
11,0.03264,0.98934,0.93048,0.9890800000000001,0.94686,0.9359400000000001,0.0023824,0.01,143.85
12,0.028700000000000003,0.9906,0.9328200000000001,0.98752,0.9538800000000001,0.94764,0.0021154,0.014000000000000002,159.22
13,0.025125,0.99215,0.936525,0.989275,0.9472499999999999,0.9414,0.001875,0.0075,168.33
14,0.02212,0.9934,0.93672,0.9890800000000001,0.9515399999999999,0.9414,0.0016346,0.012,183.82
15,0.01958,0.9939199999999999,0.9492,0.9922000000000001,0.9523199999999999,0.94374,0.0013676,0.016,195.74
16,0.017075,0.9952,0.936525,0.9931749999999999,0.958975,0.9531000000000001,0.001127,0.0125,208.53
17,0.01184,0.9972200000000001,0.94686,0.99142,0.9570000000000001,0.9531000000000001,0.0008868000000000001,0.012,220.34
18,0.01086,0.9973000000000001,0.94296,0.99142,0.95936,0.94764,0.0006196,0.014000000000000002,235.3
19,0.007625,0.9987,0.9511499999999999,0.9922,0.95895,0.954075,0.00037925000000000003,0.0125,244.67
20,0.00682,0.999,0.9523199999999999,0.9922000000000001,0.9601200000000001,0.95544,0.0001388,0.016,260.02
