 # model:cnn save: cnn_fashion_pgd dataset:FashionMNIST epoch:20 attack:fgsm eps:0.05
 Epoch, Train loss,Train acc, Time, Time elapsed
 1,96.4629,70.2583,3.42,3.42
 2,63.3027,80.3600,5.06,8.47
 3,55.2694,83.0467,6.71,15.19
 4,50.5844,84.4383,8.35,23.54
 5,47.1411,85.6600,10.18,33.72
 6,44.4436,86.4800,11.90,45.62
 7,42.0429,86.9483,13.69,59.31
 8,40.3660,87.6217,15.56,74.87
 9,38.9161,88.1883,17.34,92.20
 10,37.2436,88.6633,19.09,111.30
 11,36.2603,88.9300,20.79,132.09
 12,34.8656,89.3650,22.57,154.66
 13,33.7912,89.5417,24.16,178.82
 14,32.7741,89.9017,25.81,204.63
 15,32.0776,89.9983,27.48,232.11
 16,30.5134,90.5467,29.14,261.25
 17,30.0034,90.6617,30.80,292.04
 18,29.1311,91.0467,32.50,324.55
 19,28.6921,91.1933,34.21,358.75
 20,27.8125,91.3417,35.89,394.65
